protein_ac,gene_name,protein_name,entrez_id
Q9UII2,ATP5IF1,ATPase inhibitor,93974
P62875,POLR2L,DNA-directed RNA polymerases I,5441
Q9H7D7,WDR26,WD repeat-containing protein 26,80232
Q86TX2,ACOT1,Acyl-coenzyme A thioesterase 1,641371
P84098,RPL19,60S ribosomal protein L19,6143
P62081,RPS7,40S ribosomal protein S7,6201
Q96I59,NARS2,Probable asparagine--tRNA ligase,79731
O43196,MSH5,MutS protein homolog 5,4439
Q9HB07,C12orf10,UPF0160 protein MYG1,60314
Q8NCR3,C11orf65,Uncharacterized protein C11orf65,160140
Q15758,SLC1A5,Neutral amino acid transporter B(0),6510
P41226,UBA7,Ubiquitin-like modifier-activating enzyme 7,7318
Q71UM5,RPS27L,40S ribosomal protein S27-like,51065
P42025,ACTR1B,Beta-centractin,10120
Q9Y2B0,CNPY2,Protein canopy homolog 2,10330
P58753,TIRAP,Toll/interleukin-1 receptor domain-containing adapter protein,114609
Q4G0X9,CCDC40,Coiled-coil domain-containing protein 40,55036
Q9NVI7,ATAD3A,ATPase family AAA domain-containing protein 3A,55210
Q86SQ0,PHLDB2,Pleckstrin homology-like domain family B member 2,90102
Q9P2D3,HEATR5B,HEAT repeat-containing protein 5B,54497
Q5T1C6,THEM4,Acyl-coenzyme A thioesterase THEM4,117145
Q969M1,TOMM40L,Mitochondrial import receptor subunit TOM40B,84134
A8MPS7,YDJC,Carbohydrate deacetylase,150223
P34903,GABRA3,Gamma-aminobutyric acid receptor subunit alpha-3,2556
P15018,LIF,Leukemia inhibitory factor,3976
O43237,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,1783
P46934,NEDD4,E3 ubiquitin-protein ligase NEDD4,4734
Q96LD4,TRIM47,E3 ubiquitin-protein ligase TRIM47,91107
Q9UMQ3,BARX2,Homeobox protein BarH-like 2,8538
Q14185,DOCK1,Dedicator of cytokinesis protein 1,1793
Q01844,EWSR1,RNA-binding protein EWS,2130
Q9Y271,CYSLTR1,Cysteinyl leukotriene receptor 1,10800
Q8NAP3,ZBTB38,Zinc finger and BTB domain-containing protein 38,253461
O75952,CABYR,Calcium-binding tyrosine phosphorylation-regulated protein,26256
O43760,SYNGR2,Synaptogyrin-2,9144
Q6UW10,SFTA2,Surfactant-associated protein 2,389376
O75437,ZNF254,Zinc finger protein 254,9534
Q9H477,RBKS,Ribokinase,64080
Q9Y4E1,WASHC2C,WASH complex subunit 2C,253725
Q9NRJ5,PAPOLB,Poly(A) polymerase beta,56903
Q4G0P3,HYDIN,Hydrocephalus-inducing protein homolog,54768
P35414,APLNR,Apelin receptor,187
Q8IY17,PNPLA6,Neuropathy target esterase,10908
Q6UWN8,SPINK6,Serine protease inhibitor Kazal-type 6,404203
Q5FWF4,ZRANB3,DNA annealing helicase and endonuclease ZRANB3,84083
O14907,TAX1BP3,Tax1-binding protein 3,30851
Q93097,WNT2B,Protein Wnt-2b,7482
P18509,ADCYAP1,Pituitary adenylate cyclase-activating polypeptide,116
P32241,VIPR1,Vasoactive intestinal polypeptide receptor 1,7433
Q9UJA2,CRLS1,Cardiolipin synthase (CMP-forming),54675
Q6P0Q8,MAST2,Microtubule-associated serine/threonine-protein kinase 2,23139
O95479,H6PD,GDH/6PGL endoplasmic bifunctional protein,9563
P98164,LRP2,Low-density lipoprotein receptor-related protein 2,4036
P02458,COL2A1,Collagen alpha-1(II) chain,1280
Q9Y4X4,KLF12,Krueppel-like factor 12,11278
Q96A04,TSACC,TSSK6-activating co-chaperone protein,128229
P00738,HP,Haptoglobin,3240
O60831,PRAF2,PRA1 family protein 2,11230
Q9BWC9,CCDC106,Coiled-coil domain-containing protein 106,29903
Q3T8J9,GON4L,GON-4-like protein,54856
Q9NQC3,RTN4,Reticulon-4,57142
P47890,OR1G1,Olfactory receptor 1G1,8390
Q96BP2,CHCHD1,Coiled-coil-helix-coiled-coil-helix domain-containing protein 1,118487
P29692,EEF1D,Elongation factor 1-delta,1936
Q15003,NCAPH,Condensin complex subunit 2,23397
Q9NSI6,BRWD1,Bromodomain and WD repeat-containing protein 1,54014
Q15910,EZH2,Histone-lysine N-methyltransferase EZH2,2146
Q9Y3A0,COQ4,Ubiquinone biosynthesis protein COQ4 homolog,51117
P25067,COL8A2,Collagen alpha-2(VIII) chain,1296
Q14894,CRYM,Ketimine reductase mu-crystallin,1428
Q8TDQ0,HAVCR2,Hepatitis A virus cellular receptor 2,84868
Q9P291,ARMCX1,Armadillo repeat-containing X-linked protein 1,51309
Q9Y3D2,MSRB2,Methionine-R-sulfoxide reductase B2,22921
Q14003,KCNC3,Potassium voltage-gated channel subfamily C member 3,3748
P17097,ZNF7,Zinc finger protein 7,7553
Q9ULZ9,MMP17,Matrix metalloproteinase-17,4326
Q8NEP9,ZNF555,Zinc finger protein 555,148254
P07108,DBI,Acyl-CoA-binding protein,1622
Q93033,CD101,Immunoglobulin superfamily member 2,9398
Q5T5S1,CCDC183,Coiled-coil domain-containing protein 183,84960
Q9Y2M2,SSUH2,Protein SSUH2 homolog,51066
Q15847,ADIRF,Adipogenesis regulatory factor,10974
Q5VZB9,DMRTA1,Doublesex- and mab-3-related transcription factor A1,63951
O43916,CHST1,Carbohydrate sulfotransferase 1,8534
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4,51031
O95490,ADGRL2,Adhesion G protein-coupled receptor L2,23266
Q9UQV4,LAMP3,Lysosome-associated membrane glycoprotein 3,27074
A1A519,FAM170A,Protein FAM170A,340069
P49006,MARCKSL1,MARCKS-related protein,65108
O75387,SLC43A1,Large neutral amino acids transporter small subunit 3,8501
Q9HB40,SCPEP1,Retinoid-inducible serine carboxypeptidase,59342
P37268,FDFT1,Squalene synthase,2222
P21579,SYT1,Synaptotagmin-1,6857
Q8NB46,ANKRD52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,283373
O75113,N4BP1,NEDD4-binding protein 1,9683
Q8TCC3,MRPL30,39S ribosomal protein L30,51263
Q6P4E1,CASC4,Protein CASC4,113201
Q9H095,IQCG,Dynein regulatory complex protein 9,84223
Q13724,MOGS,Mannosyl-oligosaccharide glucosidase,7841
O43424,GRID2,Glutamate receptor ionotropic,2895
Q8TCX5,RHPN1,Rhophilin-1,114822
A4D1P6,WDR91,WD repeat-containing protein 91,29062
O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,10085
Q9Y239,NOD1,Nucleotide-binding oligomerization domain-containing protein 1,10392
P35247,SFTPD,Pulmonary surfactant-associated protein D,6441
Q99653,CHP1,Calcineurin B homologous protein 1,11261
Q76EJ3,SLC35D2,UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter,11046
Q9NUV9,GIMAP4,GTPase IMAP family member 4,55303
A5PLN9,TRAPPC13,Trafficking protein particle complex subunit 13,80006
O00292,LEFTY2,Left-right determination factor 2,7044
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor,7873
Q8N114,SHISA5,Protein shisa-5,51246
Q14393,GAS6,Growth arrest-specific protein 6,2621
Q8N1G1,REXO1,RNA exonuclease 1 homolog,57455
Q9UMX9,SLC45A2,Membrane-associated transporter protein,51151
Q99551,MTERF1,Transcription termination factor 1,7978
Q86YN6,PPARGC1B,Peroxisome proliferator-activated receptor gamma coactivator 1-beta,133522
Q9BVJ7,DUSP23,Dual specificity protein phosphatase 23,54935
Q99985,SEMA3C,Semaphorin-3C,10512
O60524,NEMF,Nuclear export mediator factor NEMF,9147
Q8IXA5,SPACA3,Sperm acrosome membrane-associated protein 3,124912
Q96BU1,S100PBP,S100P-binding protein,64766
O15287,FANCG,Fanconi anemia group G protein,2189
P08514,ITGA2B,Integrin alpha-IIb,3674
P46952,HAAO,3-hydroxyanthranilate 3,23498
Q9BXA6,TSSK6,Testis-specific serine/threonine-protein kinase 6,83983
P26842,CD27,CD27 antigen,939
Q9Y4F9,RIPOR2,Rho family-interacting cell polarization regulator 2,9750
Q15735,INPP5J,Phosphatidylinositol 4,27124
Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,5795
P56705,WNT4,Protein Wnt-4,54361
O15503,INSIG1,Insulin-induced gene 1 protein,3638
O95169,NDUFB8,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8,4714
Q99983,OMD,Osteomodulin,4958
Q13530,SERINC3,Serine incorporator 3,10955
Q96A08,H2BC1,Histone H2B type 1-A,255626
P48382,RFX5,DNA-binding protein RFX5,5993
P55197,MLLT10,Protein AF-10,8028
Q8TDI0,CHD5,Chromodomain-helicase-DNA-binding protein 5,26038
Q9HCC0,MCCC2,Methylcrotonoyl-CoA carboxylase beta chain,64087
Q9Y6H5,SNCAIP,Synphilin-1,9627
P13762,HLA-DRB4,HLA class II histocompatibility antigen,3126
Q9BX67,JAM3,Junctional adhesion molecule C,83700
Q2M1K9,ZNF423,Zinc finger protein 423,23090
P03372,ESR1,Estrogen receptor,2099
P51151,RAB9A,Ras-related protein Rab-9A,9367
Q96JB8,MPP4,MAGUK p55 subfamily member 4,58538
Q9HBM0,VEZT,Vezatin,55591
O60841,EIF5B,Eukaryotic translation initiation factor 5B,9669
Q6GQQ9,OTUD7B,OTU domain-containing protein 7B,56957
Q9BUN1,MENT,Protein MENT,54964
Q9Y4K0,LOXL2,Lysyl oxidase homolog 2,4017
P0DJD0,RGPD1,RANBP2-like and GRIP domain-containing protein 1,400966
P80294,MT1H,Metallothionein-1H,4496
Q6ZN11,ZNF793,Zinc finger protein 793,390927
O14490,DLGAP1,Disks large-associated protein 1,9229
Q9BZ29,DOCK9,Dedicator of cytokinesis protein 9,23348
Q96MF7,NSMCE2,E3 SUMO-protein ligase NSE2,286053
P17787,CHRNB2,Neuronal acetylcholine receptor subunit beta-2,1141
A1Z1Q3,MACROD2,ADP-ribose glycohydrolase MACROD2,140733
O95219,SNX4,Sorting nexin-4,8723
A0PJX4,SHISA3,Protein shisa-3 homolog,152573
Q9H0R1,AP5M1,AP-5 complex subunit mu-1,55745
Q8IYS1,PM20D2,Peptidase M20 domain-containing protein 2,135293
Q9UJJ9,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,84572
Q8WZA0,LZIC,Protein LZIC,84328
Q9UBF9,MYOT,Myotilin,9499
P06858,LPL,Lipoprotein lipase,4023
Q9NW75,GPATCH2,G patch domain-containing protein 2,55105
Q9BPZ3,PAIP2,Polyadenylate-binding protein-interacting protein 2,51247
P42677,RPS27,40S ribosomal protein S27,6232
P16389,KCNA2,Potassium voltage-gated channel subfamily A member 2,3737
O00287,RFXAP,Regulatory factor X-associated protein,5994
P35998,PSMC2,26S proteasome regulatory subunit 7,5701
Q9BXY8,BEX2,Protein BEX2,84707
Q9C0G6,DNAH6,Dynein heavy chain 6,1768
Q495Y8,SPDYE2,Speedy protein E2,441273
Q13009,TIAM1,T-lymphoma invasion and metastasis-inducing protein 1,7074
A7MCY6,TBKBP1,TANK-binding kinase 1-binding protein 1,9755
Q5H9S7,DCAF17,DDB1- and CUL4-associated factor 17,80067
Q8WYR4,RSPH1,Radial spoke head 1 homolog,89765
Q93079,HIST1H2BH,Histone H2B type 1-H,8345
Q9HAD4,WDR41,WD repeat-containing protein 41,55255
Q6ZMY6,WDR88,WD repeat-containing protein 88,126248
P49005,POLD2,DNA polymerase delta subunit 2,5425
O00451,GFRA2,GDNF family receptor alpha-2,2675
P17483,HOXB4,Homeobox protein Hox-B4,3214
Q9UNL2,SSR3,Translocon-associated protein subunit gamma,6747
Q01581,HMGCS1,Hydroxymethylglutaryl-CoA synthase,3157
Q96JJ3,ELMO2,Engulfment and cell motility protein 2,63916
Q9NRE1,MMP26,Matrix metalloproteinase-26,56547
Q96LD8,SENP8,Sentrin-specific protease 8,123228
Q9Y467,SALL2,Sal-like protein 2,6297
Q96FS4,SIPA1,Signal-induced proliferation-associated protein 1,6494
Q15287,RNPS1,RNA-binding protein with serine-rich domain 1,10921
P06133,UGT2B4,UDP-glucuronosyltransferase 2B4,7363
O76003,GLRX3,Glutaredoxin-3,10539
O14924,RGS12,Regulator of G-protein signaling 12,6002
P22003,BMP5,Bone morphogenetic protein 5,653
O96019,ACTL6A,Actin-like protein 6A,86
Q13085,ACACA,Acetyl-CoA carboxylase 1,31
Q96FG2,ELMOD3,ELMO domain-containing protein 3,84173
Q9BV81,EMC6,ER membrane protein complex subunit 6,83460
O60755,GALR3,Galanin receptor type 3,8484
Q9BYQ3,KRTAP9-3,Keratin-associated protein 9-3,83900
Q53GG5,PDLIM3,PDZ and LIM domain protein 3,27295
Q9Y2J4,AMOTL2,Angiomotin-like protein 2,51421
P21781,FGF7,Fibroblast growth factor 7,2252
O00629,KPNA4,Importin subunit alpha-3,3840
Q8TD91,MAGEC3,Melanoma-associated antigen C3,139081
Q5W5X9,TTC23,Tetratricopeptide repeat protein 23,64927
Q8N944,AMER3,APC membrane recruitment protein 3,205147
Q07002,CDK18,Cyclin-dependent kinase 18,5129
Q8NEJ0,DUSP18,Dual specificity protein phosphatase 18,150290
Q8IWB4,SPATA31A7,Spermatogenesis-associated protein 31A7,26165
Q96T54,KCNK17,Potassium channel subfamily K member 17,89822
Q8WWR8,NEU4,Sialidase-4,129807
Q92729,PTPRU,Receptor-type tyrosine-protein phosphatase U,10076
P50226,SULT1A2,Sulfotransferase 1A2,6799
Q9NXL2,ARHGEF38,Rho guanine nucleotide exchange factor 38,54848
Q9Y4L5,RNF115,E3 ubiquitin-protein ligase RNF115,27246
Q9H1K4,SLC25A18,Mitochondrial glutamate carrier 2,83733
Q99543,DNAJC2,DnaJ homolog subfamily C member 2,27000
Q9GZP0,PDGFD,Platelet-derived growth factor D,80310
Q16827,PTPRO,Receptor-type tyrosine-protein phosphatase O,5800
Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,10541
Q9NQR1,KMT5A,N-lysine methyltransferase KMT5A,387893
Q5SWX8,ODR4,Protein odr-4 homolog,54953
Q6ZRY4,RBPMS2,RNA-binding protein with multiple splicing 2,348093
Q9Y5K2,KLK4,Kallikrein-4,9622
Q96N64,PWWP2A,PWWP domain-containing protein 2A,114825
Q9BQ16,SPOCK3,Testican-3,50859
P46020,PHKA1,Phosphorylase b kinase regulatory subunit alpha,5255
Q8TF50,ZNF526,Zinc finger protein 526,116115
Q9Y210,TRPC6,Short transient receptor potential channel 6,7225
Q9NZ72,STMN3,Stathmin-3,50861
Q14191,WRN,Werner syndrome ATP-dependent helicase,7486
P17039,ZNF30,Zinc finger protein 30,90075
Q9ULP9,TBC1D24,TBC1 domain family member 24,57465
Q2M3W8,ZNF181,Zinc finger protein 181,339318
Q9NQS3,NECTIN3,Nectin-3,25945
Q9H2X8,IFI27L2,Interferon alpha-inducible protein 27-like protein 2,83982
Q96GY3,LIN37,Protein lin-37 homolog,55957
Q9P202,WHRN,Whirlin,25861
Q9NXG6,P4HTM,Transmembrane prolyl 4-hydroxylase,54681
P15848,ARSB,Arylsulfatase B,411
O95620,DUS4L,tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like,11062
Q6ZU15,SEPTIN14,Septin-14,346288
Q86VQ3,TXNDC2,Thioredoxin domain-containing protein 2,84203
P30153,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,5518
P32881,IFNA8,Interferon alpha-8,3445
Q92782,DPF1,Zinc finger protein neuro-d4,8193
P53370,NUDT6,Nucleoside diphosphate-linked moiety X motif 6,11162
Q7Z388,DPY19L4,Probable C-mannosyltransferase DPY19L4,286148
P52926,HMGA2,High mobility group protein HMGI-C,8091
Q8N4T0,CPA6,Carboxypeptidase A6,57094
Q5T0L3,SPATA46,Spermatogenesis-associated protein 46,284680
Q08493,PDE4C,cAMP-specific 3',5143
Q14CZ8,HEPACAM,Hepatocyte cell adhesion molecule,220296
Q9BXS5,AP1M1,AP-1 complex subunit mu-1,8907
Q9H7H0,METTL17,Methyltransferase-like protein 17,64745
Q53H80,AKIRIN2,Akirin-2,55122
Q5SY16,NOL9,Polynucleotide 5'-hydroxyl-kinase NOL9,79707
Q9UKT5,FBXO4,F-box only protein 4,26272
Q96C86,DCPS,m7GpppX diphosphatase,28960
Q24JP5,TMEM132A,Transmembrane protein 132A,54972
Q9NPE3,NOP10,H/ACA ribonucleoprotein complex subunit 3,55505
P62760,VSNL1,Visinin-like protein 1,7447
Q9NWM8,FKBP14,Peptidyl-prolyl cis-trans isomerase FKBP14,55033
P20142,PGC,Gastricsin,5225
P52895,AKR1C2,Aldo-keto reductase family 1 member C2,1646
Q9Y3V2,RWDD3,RWD domain-containing protein 3,25950
Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,79869
Q9BY79,MFRP,Membrane frizzled-related protein,83552
P49767,VEGFC,Vascular endothelial growth factor C,7424
Q6N063,OGFOD2,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,79676
O95428,PAPLN,Papilin,89932
Q99973,TEP1,Telomerase protein component 1,7011
Q9UJM3,ERRFI1,ERBB receptor feedback inhibitor 1,54206
P20290,BTF3,Transcription factor BTF3,689
Q15545,TAF7,Transcription initiation factor TFIID subunit 7,6879
O76075,DFFB,DNA fragmentation factor subunit beta,1677
O75533,SF3B1,Splicing factor 3B subunit 1,23451
Q96JX3,SERAC1,Protein SERAC1,84947
Q9NYZ2,SLC25A37,Mitoferrin-1,51312
Q1XH10,SKIDA1,SKI/DACH domain-containing protein 1,387640
Q9ULB1,NRXN1,Neurexin-1,9378
Q52LA3,LIN52,Protein lin-52 homolog,91750
Q12934,BFSP1,Filensin,631
Q9UI38,PRSS50,Probable threonine protease PRSS50,29122
O00519,FAAH,Fatty-acid amide hydrolase 1,2166
P02671,FGA,Fibrinogen alpha chain,2243
Q6BCY4,CYB5R2,NADH-cytochrome b5 reductase 2,51700
Q9Y2P5,SLC27A5,Bile acyl-CoA synthetase,10998
Q96JL9,ZNF333,Zinc finger protein 333,84449
Q9GZU3,TMEM39B,Transmembrane protein 39B,55116
Q8IXU6,SLC35F2,Solute carrier family 35 member F2,54733
Q9BWG6,SCNM1,Sodium channel modifier 1,79005
P98172,EFNB1,Ephrin-B1,1947
P29972,AQP1,Aquaporin-1,358
Q8N609,TRAM1L1,Translocating chain-associated membrane protein 1-like 1,133022
Q8N2C7,UNC80,Protein unc-80 homolog,285175
Q96EK5,KIFBP,KIF-binding protein,26128
Q92835,INPP5D,Phosphatidylinositol 3,3635
P63211,GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,2792
Q9HCH5,SYTL2,Synaptotagmin-like protein 2,54843
Q9UL46,PSME2,Proteasome activator complex subunit 2,5721
Q8IYB5,SMAP1,Stromal membrane-associated protein 1,60682
Q9UBL9,P2RX2,P2X purinoceptor 2,22953
Q5VWZ2,LYPLAL1,Lysophospholipase-like protein 1,127018
Q5JSP0,FGD3,FYVE,89846
Q5EE01,CENPW,Centromere protein W,387103
Q9NQX4,MYO5C,Unconventional myosin-Vc,55930
P09228,CST2,Cystatin-SA,1470
O95947,TBX6,T-box transcription factor TBX6,6911
P38935,IGHMBP2,DNA-binding protein SMUBP-2,3508
Q9Y2Q9,MRPS28,28S ribosomal protein S28,28957
Q8N9H8,EXD3,Exonuclease mut-7 homolog,54932
Q9P2E9,RRBP1,Ribosome-binding protein 1,6238
Q92743,HTRA1,Serine protease HTRA1,5654
Q96P31,FCRL3,Fc receptor-like protein 3,115352
P51513,NOVA1,RNA-binding protein Nova-1,4857
Q8NI27,THOC2,THO complex subunit 2,57187
Q12948,FOXC1,Forkhead box protein C1,2296
P23468,PTPRD,Receptor-type tyrosine-protein phosphatase delta,5789
O95948,ONECUT2,One cut domain family member 2,9480
Q5SGD2,PPM1L,Protein phosphatase 1L,151742
Q96FE7,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,113791
Q1RMZ1,BMT2,S-adenosylmethionine sensor upstream of mTORC1,154743
P48745,CCN3,CCN family member 3,4856
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1,29086
Q8NFU7,TET1,Methylcytosine dioxygenase TET1,80312
Q86SX6,GLRX5,Glutaredoxin-related protein 5,51218
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,7293
Q15836,VAMP3,Vesicle-associated membrane protein 3,9341
Q9Y3R4,NEU2,Sialidase-2,4759
Q9UFF9,CNOT8,CCR4-NOT transcription complex subunit 8,9337
Q7Z6B7,SRGAP1,SLIT-ROBO Rho GTPase-activating protein 1,57522
O95861,BPNT1,3'(2'),10380
B4DXR9,ZNF732,Zinc finger protein 732,654254
O96017,CHEK2,Serine/threonine-protein kinase Chk2,11200
A4D0V7,CPED1,Cadherin-like and PC-esterase domain-containing protein 1,79974
Q5VWI1,TCERG1L,Transcription elongation regulator 1-like protein,256536
Q96GC5,MRPL48,39S ribosomal protein L48,51642
Q8IYN0,ZNF100,Zinc finger protein 100,163227
Q07157,TJP1,Tight junction protein ZO-1,7082
Q6ZU65,UBN2,Ubinuclein-2,254048
P36551,CPOX,Oxygen-dependent coproporphyrinogen-III oxidase,1371
O43566,RGS14,Regulator of G-protein signaling 14,10636
Q5VVH5,IRAK1BP1,Interleukin-1 receptor-associated kinase 1-binding protein 1,134728
O43278,SPINT1,Kunitz-type protease inhibitor 1,6692
Q8TC76,FAM110B,Protein FAM110B,90362
Q8IYQ7,THNSL1,Threonine synthase-like 1,79896
P30307,CDC25C,M-phase inducer phosphatase 3,995
Q9NYF3,FAM53C,Protein FAM53C,51307
Q9NRG9,AAAS,Aladin,8086
Q9H0J9,PARP12,Protein mono-ADP-ribosyltransferase PARP12,64761
Q9BZV2,SLC19A3,Thiamine transporter 2,80704
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,8797
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2,129446
Q9P2P6,STARD9,StAR-related lipid transfer protein 9,57519
Q8TB92,HMGCLL1,3-hydroxy-3-methylglutaryl-CoA lyase,54511
Q9H161,ALX4,Homeobox protein aristaless-like 4,60529
Q9H5Q4,TFB2M,Dimethyladenosine transferase 2,64216
O75083,WDR1,WD repeat-containing protein 1,9948
Q86VF7,NRAP,Nebulin-related-anchoring protein,4892
O75899,GABBR2,Gamma-aminobutyric acid type B receptor subunit 2,9568
P43003,SLC1A3,Excitatory amino acid transporter 1,6507
Q8IZV2,CMTM8,CKLF-like MARVEL transmembrane domain-containing protein 8,152189
O94919,ENDOD1,Endonuclease domain-containing 1 protein,23052
P51884,LUM,Lumican,4060
Q6PJ21,SPSB3,SPRY domain-containing SOCS box protein 3,90864
Q96N46,TTC14,Tetratricopeptide repeat protein 14,151613
Q96AT9,RPE,Ribulose-phosphate 3-epimerase,6120
Q9H898,ZMAT4,Zinc finger matrin-type protein 4,79698
Q16533,SNAPC1,snRNA-activating protein complex subunit 1,6617
Q96HS1,PGAM5,Serine/threonine-protein phosphatase PGAM5,192111
Q8NEZ2,VPS37A,Vacuolar protein sorting-associated protein 37A,137492
Q9BVG9,PTDSS2,Phosphatidylserine synthase 2,81490
O43167,ZBTB24,Zinc finger and BTB domain-containing protein 24,9841
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,10423
P05408,SCG5,Neuroendocrine protein 7B2,6447
Q99700,ATXN2,Ataxin-2,6311
Q2TB10,ZNF800,Zinc finger protein 800,168850
Q9NUM4,TMEM106B,Transmembrane protein 106B,54664
Q2TB90,HKDC1,Hexokinase HKDC1,80201
P12724,RNASE3,Eosinophil cationic protein,6037
Q9GZZ0,HOXD1,Homeobox protein Hox-D1,3231
Q8TC71,SPATA18,Mitochondria-eating protein,132671
Q6ZMS4,ZNF852,Zinc finger protein 852,285346
O15247,CLIC2,Chloride intracellular channel protein 2,1193
Q149M9,NWD1,NACHT domain- and WD repeat-containing protein 1,284434
Q6NXT6,TAPT1,Transmembrane anterior posterior transformation protein 1 homolog,202018
P13647,KRT5,Keratin,3852
P25815,S100P,Protein S100-P,6286
P30419,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,4836
Q9P265,DIP2B,Disco-interacting protein 2 homolog B,57609
P14866,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,3191
A6NP11,ZNF716,Zinc finger protein 716,441234
Q99558,MAP3K14,Mitogen-activated protein kinase kinase kinase 14,9020
Q96A29,SLC35C1,GDP-fucose transporter 1,55343
Q96EF6,FBXO17,F-box only protein 17,115290
Q6PG37,ZNF790,Zinc finger protein 790,388536
Q9H159,CDH19,Cadherin-19,28513
P04083,ANXA1,Annexin A1,301
Q96NT3,GUCD1,Protein GUCD1,83606
O14531,DPYSL4,Dihydropyrimidinase-related protein 4,10570
Q02575,NHLH1,Helix-loop-helix protein 1,4807
Q04727,TLE4,Transducin-like enhancer protein 4,7091
Q8N3X1,FNBP4,Formin-binding protein 4,23360
O94915,FRYL,Protein furry homolog-like,285527
P18505,GABRB1,Gamma-aminobutyric acid receptor subunit beta-1,2560
O15264,MAPK13,Mitogen-activated protein kinase 13,5603
Q6ZSS3,ZNF621,Zinc finger protein 621,285268
Q9NUB1,ACSS1,Acetyl-coenzyme A synthetase 2-like,84532
Q08188,TGM3,Protein-glutamine gamma-glutamyltransferase E,7053
Q8N695,SLC5A8,Sodium-coupled monocarboxylate transporter 1,160728
Q8TC21,ZNF596,Zinc finger protein 596,169270
P10696,ALPG,Alkaline phosphatase,251
Q8NHQ8,RASSF8,Ras association domain-containing protein 8,11228
P01579,IFNG,Interferon gamma,3458
Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7,7874
Q6W5P4,NPSR1,Neuropeptide S receptor,387129
Q86XP0,PLA2G4D,Cytosolic phospholipase A2 delta,283748
P23396,RPS3,40S ribosomal protein S3,6188
Q155Q3,DIXDC1,Dixin,85458
A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,285590
Q9UDY4,DNAJB4,DnaJ homolog subfamily B member 4,11080
Q9H741,C12orf49,UPF0454 protein C12orf49,79794
Q5U3C3,TMEM164,Transmembrane protein 164,84187
Q6UX73,C16orf89,UPF0764 protein C16orf89,146556
Q9P0S9,TMEM14C,Transmembrane protein 14C,51522
Q96RQ3,MCCC1,Methylcrotonoyl-CoA carboxylase subunit alpha,56922
Q9BVA0,KATNB1,Katanin p80 WD40 repeat-containing subunit B1,10300
Q9BWV3,CDADC1,Cytidine and dCMP deaminase domain-containing protein 1,81602
Q9HC77,CENPJ,Centromere protein J,55835
Q9H6U8,ALG9,Alpha-1,79796
Q13671,RIN1,Ras and Rab interactor 1,9610
O94810,RGS11,Regulator of G-protein signaling 11,8786
Q9NWN3,FBXO34,F-box only protein 34,55030
Q9Y3D9,MRPS23,28S ribosomal protein S23,51649
A1KZ92,PXDNL,Peroxidasin-like protein,137902
O00522,KRIT1,Krev interaction trapped protein 1,889
O95164,UBL3,Ubiquitin-like protein 3,5412
O14524,NEMP1,Nuclear envelope integral membrane protein 1,23306
Q7Z6B0,CCDC91,Coiled-coil domain-containing protein 91,55297
P01160,NPPA,Natriuretic peptides A,4878
P16989,YBX3,Y-box-binding protein 3,8531
P09430,TNP1,Spermatid nuclear transition protein 1,7141
P15692,VEGFA,Vascular endothelial growth factor A,7422
Q8TE23,TAS1R2,Taste receptor type 1 member 2,80834
Q7Z6J4,FGD2,FYVE,221472
Q8NF64,ZMIZ2,Zinc finger MIZ domain-containing protein 2,83637
Q99829,CPNE1,Copine-1,8904
P27361,MAPK3,Mitogen-activated protein kinase 3,5595
Q96LA5,FCRL2,Fc receptor-like protein 2,79368
P16860,NPPB,Natriuretic peptides B,4879
Q5MJ08,SPANXN4,Sperm protein associated with the nucleus on the X chromosome N4,441525
Q68CZ2,TNS3,Tensin-3,64759
P23025,XPA,DNA repair protein complementing XP-A cells,7507
Q99417,MYCBP,c-Myc-binding protein,26292
